,Cell,Experimental,Concentration,Animal,Ligand,Predicted
46,Ramos,0.3777620959,-10.86272753,Human,hIL4,0.34666176633691903
47,Ramos,1.0510739649999998,-9.908485019,Human,hIL4,0.8270774009025181
48,Ramos,0.946015084,-8.954242509,Human,hIL4,0.977610489590051
49,Ramos,1.002910951,-8.0,Human,hIL4,0.9977788462841766
50,Ramos,0.01240457459,-14.67969757,Human,hIL4,8.084948766907886e-05
51,Ramos,0.09027870927000001,-13.72545506,Human,hIL4,0.00072717523045129
52,Ramos,0.0038665881299999997,-12.77121255,Human,hIL4,0.006506738807747301
53,Ramos,0.02885069604,-11.81697004,Human,hIL4,0.05566418551990638
54,Ramos,0.3464357989,-10.86272753,Human,hIL4,0.34666176633691903
55,Ramos,1.070625011,-9.908485019,Human,hIL4,0.8270774009025181
56,Ramos,0.9727880841,-8.954242509,Human,hIL4,0.977610489590051
57,Ramos,0.9615207414,-8.0,Human,hIL4,0.9977788462841766
58,Ramos,0.00533624154,-14.67969757,Human,hIL4,8.084948766907886e-05
59,Ramos,0.08565979856,-13.72545506,Human,hIL4,0.00072717523045129
60,Ramos,0.00176708326,-12.77121255,Human,hIL4,0.006506738807747301
61,Ramos,0.01786328724,-11.81697004,Human,hIL4,0.05566418551990638
62,Ramos,0.36932040190000004,-10.86272753,Human,hIL4,0.34666176633691903
63,Ramos,1.065656183,-9.908485019,Human,hIL4,0.8270774009025181
64,Ramos,0.9808361861,-8.954242509,Human,hIL4,0.977610489590051
65,Ramos,0.9485737947,-8.0,Human,hIL4,0.9977788462841766
0,Ramos,0.0,-14.2247,Human,hNeo4,1.8229419004676788e-05
1,Ramos,0.0,-13.3216,Human,hNeo4,0.00014582203358077584
2,Ramos,0.0,-12.4185,Human,hNeo4,0.0011655366399384345
3,Ramos,0.00232776,-11.5154,Human,hNeo4,0.009256804907787406
4,Ramos,0.07662714,-10.6124,Human,hNeo4,0.06997546132576463
5,Ramos,0.6123836,-9.70927,Human,hNeo4,0.3890209082338651
6,Ramos,1.048193,-8.80618,Human,hNeo4,0.9044120745100286
7,Ramos,1.042433,-7.90309,Human,hNeo4,1.0838996632019062
8,Ramos,1.057231,-7.0,Human,hNeo4,1.1113526854600397
9,Ramos,0.0,-14.2247,Human,hNeo4,1.8229419004676788e-05
10,Ramos,0.0,-13.3216,Human,hNeo4,0.00014582203358077584
11,Ramos,0.0,-12.4185,Human,hNeo4,0.0011655366399384345
12,Ramos,0.0,-11.5154,Human,hNeo4,0.009256804907787406
13,Ramos,0.07988621,-10.6124,Human,hNeo4,0.06997546132576463
14,Ramos,0.6227892,-9.70927,Human,hNeo4,0.3890209082338651
15,Ramos,0.9892588999999999,-8.80618,Human,hNeo4,0.9044120745100286
16,Ramos,1.039882,-7.90309,Human,hNeo4,1.0838996632019062
17,Ramos,0.9872504999999999,-7.0,Human,hNeo4,1.1113526854600397
18,Ramos,0.0,-13.67969757,Human,hNeo4,6.393776659813737e-05
19,Ramos,0.00498390156,-12.72545506,Human,hNeo4,0.0005751761692607115
20,Ramos,0.0,-11.77121255,Human,hNeo4,0.0051553208331214075
21,Ramos,0.0275658272,-10.81697004,Human,hNeo4,0.04474367992400424
22,Ramos,0.2882282892,-9.862727528,Human,hNeo4,0.30486870881046624
23,Ramos,0.9678031138000001,-8.908485019,Human,hNeo4,0.8611211719236606
24,Ramos,1.034402152,-7.954242509,Human,hNeo4,1.0800735737043174
25,Ramos,1.0275217220000001,-7.0,Human,hNeo4,1.1113526854600397
26,Ramos,0.0,-13.67969757,Human,hNeo4,6.393776659813737e-05
27,Ramos,0.09286809861,-12.72545506,Human,hNeo4,0.0005751761692607115
28,Ramos,0.0,-11.77121255,Human,hNeo4,0.0051553208331214075
29,Ramos,0.01576378237,-10.81697004,Human,hNeo4,0.04474367992400424
30,Ramos,0.30353591609999997,-9.862727528,Human,hNeo4,0.30486870881046624
31,Ramos,0.9351369635000001,-8.908485019,Human,hNeo4,0.8611211719236606
32,Ramos,1.012888627,-7.954242509,Human,hNeo4,1.0800735737043174
33,Ramos,1.030244534,-7.0,Human,hNeo4,1.1113526854600397
34,Ramos,0.0,-13.67969757,Human,hNeo4,6.393776659813737e-05
35,Ramos,0.07173308295,-12.72545506,Human,hNeo4,0.0005751761692607115
36,Ramos,0.0,-11.77121255,Human,hNeo4,0.0051553208331214075
37,Ramos,0.0034466871599999997,-10.81697004,Human,hNeo4,0.04474367992400424
38,Ramos,0.3071750579,-9.862727528,Human,hNeo4,0.30486870881046624
39,Ramos,0.8816695729,-8.908485019,Human,hNeo4,0.8611211719236606
40,Ramos,1.000851466,-7.954242509,Human,hNeo4,1.0800735737043174
41,Ramos,1.003580822,-7.0,Human,hNeo4,1.1113526854600397
0,Ramos,0.02406111,-13.6797,Human,hIL13,1.8365398627337525e-09
1,Ramos,0.0137492,-12.7255,Human,hIL13,1.6527238245041734e-08
2,Ramos,0.01814131,-11.7712,Human,hIL13,1.4876461493284352e-07
3,Ramos,0.0040101799999999995,-10.817,Human,hIL13,1.338732592376364e-06
4,Ramos,0.00190961,-9.86273,Human,hIL13,1.2047906383053903e-05
5,Ramos,0.0024825,-8.90849,Human,hIL13,0.0001083132534855219
6,Ramos,0.0,-7.95424,Human,hIL13,0.0009654380185051783
7,Ramos,0.0,-7.0,Human,hIL13,0.007995180778658564
8,Ramos,0.02499121,-13.6797,Human,hIL13,1.8365398627337525e-09
9,Ramos,0.01258863,-12.7255,Human,hIL13,1.6527238245041734e-08
10,Ramos,0.004775,-11.7712,Human,hIL13,1.4876461493284352e-07
11,Ramos,0.0,-10.817,Human,hIL13,1.338732592376364e-06
12,Ramos,0.0,-9.86273,Human,hIL13,1.2047906383053903e-05
13,Ramos,0.00948798,-8.90849,Human,hIL13,0.0001083132534855219
14,Ramos,0.00266656,-7.95424,Human,hIL13,0.0009654380185051783
15,Ramos,0.00675941,-7.0,Human,hIL13,0.007995180778658564
16,Ramos,0.0013022700000000001,-13.6797,Human,hIL13,1.8365398627337525e-09
17,Ramos,0.0,-12.7255,Human,hIL13,1.6527238245041734e-08
18,Ramos,0.0,-11.7712,Human,hIL13,1.4876461493284352e-07
19,Ramos,0.0,-10.817,Human,hIL13,1.338732592376364e-06
20,Ramos,0.0,-9.86273,Human,hIL13,1.2047906383053903e-05
21,Ramos,0.0,-8.90849,Human,hIL13,0.0001083132534855219
22,Ramos,0.0,-7.95424,Human,hIL13,0.0009654380185051783
23,Ramos,0.00502305,-7.0,Human,hIL13,0.007995180778658564
24,Ramos,0.0,-13.67969757,Human,hIL13,1.836550138720315e-09
25,Ramos,0.00471926962,-12.72545506,Human,hIL13,1.6528948541648008e-08
26,Ramos,0.00269042473,-11.77121255,Human,hIL13,1.4876031608517305e-07
27,Ramos,0.01354033432,-10.81697004,Human,hIL13,1.3388249472423715e-06
28,Ramos,0.00736558903,-9.862727528,Human,hIL13,1.2047974950534301e-05
29,Ramos,0.01151148944,-8.908485019,Human,hIL13,0.00010831449424485036
30,Ramos,0.0033078992600000003,-7.954242509,Human,hIL13,0.0009654325014980714
31,Ramos,0.022008556430000003,-7.0,Human,hIL13,0.007995180778658564
32,Ramos,0.0,-13.67969757,Human,hIL13,1.836550138720315e-09
33,Ramos,0.08908898985000001,-12.72545506,Human,hIL13,1.6528948541648008e-08
34,Ramos,0.0012072152999999999,-11.77121255,Human,hIL13,1.4876031608517305e-07
35,Ramos,0.0,-10.81697004,Human,hIL13,1.3388249472423715e-06
36,Ramos,0.0024669182200000002,-9.862727528,Human,hIL13,1.2047974950534301e-05
37,Ramos,0.0091153503,-8.908485019,Human,hIL13,0.00010831449424485036
38,Ramos,0.00526625804,-7.954242509,Human,hIL13,0.0009654325014980714
39,Ramos,0.00400655512,-7.0,Human,hIL13,0.007995180778658564
40,Ramos,0.00162711627,-13.67969757,Human,hIL13,1.836550138720315e-09
41,Ramos,0.08579976556,-12.72545506,Human,hIL13,1.6528948541648008e-08
42,Ramos,0.0,-11.77121255,Human,hIL13,1.4876031608517305e-07
43,Ramos,0.0,-10.81697004,Human,hIL13,1.3388249472423715e-06
44,Ramos,0.0,-9.862727528,Human,hIL13,1.2047974950534301e-05
45,Ramos,0.01289445906,-8.908485019,Human,hIL13,0.00010831449424485036
46,Ramos,0.0,-7.954242509,Human,hIL13,0.0009654325014980714
47,Ramos,0.008905399809999999,-7.0,Human,hIL13,0.007995180778658564
0,Macrophage,0.00902542,-13.2247,Human,hIL4,0.0023186494882454717
1,Macrophage,0.00071806,-12.6227,Human,hIL4,0.009209803629968798
2,Macrophage,0.00668345,-12.0206,Human,hIL4,0.03586001606511054
3,Macrophage,0.07263419,-11.4185,Human,hIL4,0.1296237162520704
4,Macrophage,0.38338700000000003,-10.8165,Human,hIL4,0.3741671536271472
5,Macrophage,0.8107301,-10.2144,Human,hIL4,0.708290989825132
6,Macrophage,0.9574788,-9.61236,Human,hIL4,0.9117345831931841
7,Macrophage,0.9212224,-9.0103,Human,hIL4,0.9818648304927193
8,Macrophage,0.932623,-8.40824,Human,hIL4,0.9994203510860015
9,Macrophage,0.9297065999999999,-7.80618,Human,hIL4,0.9971509415538212
10,Macrophage,0.9661175,-7.20412,Human,hIL4,0.9709167873386102
11,Macrophage,1.0382989999999999,-6.60206,Human,hIL4,0.880428501972654
12,Macrophage,0.01644902,-13.2247,Human,hIL4,0.0023186494882454717
13,Macrophage,0.00237511,-12.6227,Human,hIL4,0.009209803629968798
14,Macrophage,0.00745674,-12.0206,Human,hIL4,0.03586001606511054
15,Macrophage,0.07935078,-11.4185,Human,hIL4,0.1296237162520704
16,Macrophage,0.37649360000000004,-10.8165,Human,hIL4,0.3741671536271472
17,Macrophage,0.8291343999999999,-10.2144,Human,hIL4,0.708290989825132
18,Macrophage,0.958716,-9.61236,Human,hIL4,0.9117345831931841
19,Macrophage,1.001954,-9.0103,Human,hIL4,0.9818648304927193
20,Macrophage,0.9649466,-8.40824,Human,hIL4,0.9994203510860015
21,Macrophage,0.9964085,-7.80618,Human,hIL4,0.9971509415538212
22,Macrophage,1.057167,-7.20412,Human,hIL4,0.9709167873386102
23,Macrophage,1.0189,-6.60206,Human,hIL4,0.880428501972654
24,Macrophage,0.01644902,-13.2247,Human,hIL4,0.0023186494882454717
25,Macrophage,0.00237511,-12.6227,Human,hIL4,0.009209803629968798
26,Macrophage,0.00745674,-12.0206,Human,hIL4,0.03586001606511054
27,Macrophage,0.07935078,-11.4185,Human,hIL4,0.1296237162520704
28,Macrophage,0.37649360000000004,-10.8165,Human,hIL4,0.3741671536271472
29,Macrophage,0.8291343999999999,-10.2144,Human,hIL4,0.708290989825132
30,Macrophage,0.958716,-9.61236,Human,hIL4,0.9117345831931841
31,Macrophage,1.001954,-9.0103,Human,hIL4,0.9818648304927193
32,Macrophage,0.9649466,-8.40824,Human,hIL4,0.9994203510860015
33,Macrophage,0.9964085,-7.80618,Human,hIL4,0.9971509415538212
34,Macrophage,1.057167,-7.20412,Human,hIL4,0.9709167873386102
35,Macrophage,1.0189,-6.60206,Human,hIL4,0.880428501972654
36,Macrophage,0.02782013215,-13.00336125,Human,hIL4,0.0038539904164567157
37,Macrophage,0.03341982541,-12.22521,Human,hIL4,0.022690371659246644
38,Macrophage,0.05695993723,-11.44705875,Human,hIL4,0.12237509982710686
39,Macrophage,0.3662627397,-10.6689075,Human,hIL4,0.45697967490856484
40,Macrophage,0.8179475519,-9.890756252,Human,hIL4,0.8395415986725118
41,Macrophage,0.9944627237,-9.112605002,Human,hIL4,0.9753053025868662
42,Macrophage,1.029808558,-8.334453751,Human,hIL4,1.0
43,Macrophage,1.052028997,-7.556302501,Human,hIL4,0.990534001666374
44,Macrophage,0.025822789319999997,-13.00336125,Human,hIL4,0.0038539904164567157
45,Macrophage,0.02689279441,-12.22521,Human,hIL4,0.022690371659246644
46,Macrophage,0.03948318755,-11.44705875,Human,hIL4,0.12237509982710686
47,Macrophage,0.4049255901,-10.6689075,Human,hIL4,0.45697967490856484
48,Macrophage,0.9188133643999999,-9.890756252,Human,hIL4,0.8395415986725118
49,Macrophage,0.9178503598000001,-9.112605002,Human,hIL4,0.9753053025868662
50,Macrophage,0.9816226627,-8.334453751,Human,hIL4,1.0
51,Macrophage,0.9365397819000001,-7.556302501,Human,hIL4,0.990534001666374
52,Macrophage,0.022862441929999998,-13.00336125,Human,hIL4,0.0038539904164567157
53,Macrophage,0.0238254465,-12.22521,Human,hIL4,0.022690371659246644
54,Macrophage,0.04633122007,-11.44705875,Human,hIL4,0.12237509982710686
55,Macrophage,0.3984698927,-10.6689075,Human,hIL4,0.45697967490856484
56,Macrophage,0.9307260876,-9.890756252,Human,hIL4,0.8395415986725118
57,Macrophage,0.7735780078000001,-9.112605002,Human,hIL4,0.9753053025868662
58,Macrophage,0.9607575636,-8.334453751,Human,hIL4,1.0
59,Macrophage,0.9664999242000001,-7.556302501,Human,hIL4,0.990534001666374
60,Macrophage,0.08306106531999999,-13.00336125,Human,hIL4,0.0038539904164567157
61,Macrophage,0.058999599500000006,-12.22521,Human,hIL4,0.022690371659246644
62,Macrophage,0.07597858393,-11.44705875,Human,hIL4,0.12237509982710686
63,Macrophage,0.3156130773,-10.6689075,Human,hIL4,0.45697967490856484
64,Macrophage,0.8729158323,-9.890756252,Human,hIL4,0.8395415986725118
65,Macrophage,1.0688223270000001,-9.112605002,Human,hIL4,0.9753053025868662
66,Macrophage,0.9776986151,-8.334453751,Human,hIL4,1.0
67,Macrophage,0.9989144410999999,-7.556302501,Human,hIL4,0.990534001666374
68,Macrophage,0.07885584199000001,-13.00336125,Human,hIL4,0.0038539904164567157
69,Macrophage,0.0554583588,-12.22521,Human,hIL4,0.022690371659246644
70,Macrophage,0.07057186822,-11.44705875,Human,hIL4,0.12237509982710686
71,Macrophage,0.317288843,-10.6689075,Human,hIL4,0.45697967490856484
72,Macrophage,0.8476844923,-9.890756252,Human,hIL4,0.8395415986725118
73,Macrophage,1.043907169,-9.112605002,Human,hIL4,0.9753053025868662
74,Macrophage,0.9847178601000001,-8.334453751,Human,hIL4,1.0
75,Macrophage,1.021268523,-7.556302501,Human,hIL4,0.990534001666374
76,Macrophage,0.07781244072,-13.00336125,Human,hIL4,0.0038539904164567157
77,Macrophage,0.044581690939999995,-12.22521,Human,hIL4,0.022690371659246644
78,Macrophage,0.06782108303,-11.44705875,Human,hIL4,0.12237509982710686
79,Macrophage,0.2894015725,-10.6689075,Human,hIL4,0.45697967490856484
80,Macrophage,0.8356695685,-9.890756252,Human,hIL4,0.8395415986725118
81,Macrophage,0.9033641787000001,-9.112605002,Human,hIL4,0.9753053025868662
82,Macrophage,1.004921903,-8.334453751,Human,hIL4,1.0
83,Macrophage,1.012478658,-7.556302501,Human,hIL4,0.990534001666374
84,Macrophage,0.04520969751,-13.00336125,Human,hIL4,0.0038539904164567157
85,Macrophage,0.00621184453,-12.22521,Human,hIL4,0.022690371659246644
86,Macrophage,0.05893229624,-11.44705875,Human,hIL4,0.12237509982710686
87,Macrophage,0.407437404,-10.6689075,Human,hIL4,0.45697967490856484
88,Macrophage,0.8511449507000001,-9.890756252,Human,hIL4,0.8395415986725118
89,Macrophage,0.9412740012,-9.112605002,Human,hIL4,0.9753053025868662
90,Macrophage,0.9779796606,-8.334453751,Human,hIL4,1.0
91,Macrophage,1.032442179,-7.556302501,Human,hIL4,0.990534001666374
92,Macrophage,0.03069247167,-13.00336125,Human,hIL4,0.0038539904164567157
93,Macrophage,0.00706759679,-12.22521,Human,hIL4,0.022690371659246644
94,Macrophage,0.05835160721,-11.44705875,Human,hIL4,0.12237509982710686
95,Macrophage,0.42467469950000003,-10.6689075,Human,hIL4,0.45697967490856484
96,Macrophage,0.8742808243,-9.890756252,Human,hIL4,0.8395415986725118
97,Macrophage,0.9823195470999999,-9.112605002,Human,hIL4,0.9753053025868662
98,Macrophage,1.037087692,-8.334453751,Human,hIL4,1.0
99,Macrophage,0.9524904683,-7.556302501,Human,hIL4,0.990534001666374
0,Macrophage,0.01004175,-12.6227,Human,hNeo4,0.00023319655643040226
1,Macrophage,0.0,-12.0206,Human,hNeo4,0.0009310475893010578
2,Macrophage,0.0,-11.4185,Human,hNeo4,0.0036956182759111476
3,Macrophage,0.0,-10.8165,Human,hNeo4,0.014335360226812721
4,Macrophage,0.00257396,-10.2144,Human,hNeo4,0.05118099610917934
5,Macrophage,0.02073527,-9.61236,Human,hNeo4,0.14315432086013063
6,Macrophage,0.07946125,-9.0103,Human,hNeo4,0.25994146949618907
7,Macrophage,0.1563264,-8.40824,Human,hNeo4,0.3265394223782087
8,Macrophage,0.17755880000000002,-7.80618,Human,hNeo4,0.3488811884476961
9,Macrophage,0.2432002,-7.20412,Human,hNeo4,0.35493320938709394
10,Macrophage,0.2492098,-6.60206,Human,hNeo4,0.35640079949821635
11,Macrophage,0.2788821,-6.0,Human,hNeo4,0.35645582953412924
12,Macrophage,0.0067718299999999995,-12.6227,Human,hNeo4,0.00023319655643040226
13,Macrophage,0.0,-12.0206,Human,hNeo4,0.0009310475893010578
14,Macrophage,0.0,-11.4185,Human,hNeo4,0.0036956182759111476
15,Macrophage,0.0,-10.8165,Human,hNeo4,0.014335360226812721
16,Macrophage,0.0,-10.2144,Human,hNeo4,0.05118099610917934
17,Macrophage,0.00904751,-9.61236,Human,hNeo4,0.14315432086013063
18,Macrophage,0.057389289999999996,-9.0103,Human,hNeo4,0.25994146949618907
19,Macrophage,0.1370162,-8.40824,Human,hNeo4,0.3265394223782087
20,Macrophage,0.19006409999999999,-7.80618,Human,hNeo4,0.3488811884476961
21,Macrophage,0.2265192,-7.20412,Human,hNeo4,0.35493320938709394
22,Macrophage,0.2559706,-6.60206,Human,hNeo4,0.35640079949821635
23,Macrophage,0.2502041,-6.0,Human,hNeo4,0.35645582953412924
24,Macrophage,0.00451823,-12.6227,Human,hNeo4,0.00023319655643040226
25,Macrophage,0.0,-12.0206,Human,hNeo4,0.0009310475893010578
26,Macrophage,0.0,-11.4185,Human,hNeo4,0.0036956182759111476
27,Macrophage,0.0,-10.8165,Human,hNeo4,0.014335360226812721
28,Macrophage,0.0,-10.2144,Human,hNeo4,0.05118099610917934
29,Macrophage,0.010108029999999999,-9.61236,Human,hNeo4,0.14315432086013063
30,Macrophage,0.06430473,-9.0103,Human,hNeo4,0.25994146949618907
31,Macrophage,0.1276263,-8.40824,Human,hNeo4,0.3265394223782087
32,Macrophage,0.17470870000000002,-7.80618,Human,hNeo4,0.3488811884476961
33,Macrophage,0.221526,-7.20412,Human,hNeo4,0.35493320938709394
34,Macrophage,0.23776509999999998,-6.60206,Human,hNeo4,0.35640079949821635
35,Macrophage,0.26525010000000004,-6.0,Human,hNeo4,0.35645582953412924
36,Macrophage,0.01201972376,-11.44705875,Human,hNeo4,0.003462697474595301
37,Macrophage,0.01094971868,-10.6689075,Human,hNeo4,0.01981528686045509
38,Macrophage,0.02578712249,-9.890756252,Human,hNeo4,0.0930659351920489
39,Macrophage,0.03748584472,-9.112605002,Human,hNeo4,0.24242995968039757
40,Macrophage,0.08506540405999999,-8.334453751,Human,hNeo4,0.3309554574973569
41,Macrophage,0.168632801,-7.556302501,Human,hNeo4,0.3523928196831638
42,Macrophage,0.1697384729,-6.77815125,Human,hNeo4,0.3561785427861083
43,Macrophage,0.19042523790000002,-6.0,Human,hNeo4,0.35645582953412924
44,Macrophage,0.01387439924,-11.44705875,Human,hNeo4,0.003462697474595301
45,Macrophage,0.0138387324,-10.6689075,Human,hNeo4,0.01981528686045509
46,Macrophage,0.01747674968,-9.890756252,Human,hNeo4,0.0930659351920489
47,Macrophage,0.02660745972,-9.112605002,Human,hNeo4,0.24242995968039757
48,Macrophage,0.1117441975,-8.334453751,Human,hNeo4,0.3309554574973569
49,Macrophage,0.1526897253,-7.556302501,Human,hNeo4,0.3523928196831638
50,Macrophage,0.16089309759999998,-6.77815125,Human,hNeo4,0.3561785427861083
51,Macrophage,0.17230648510000002,-6.0,Human,hNeo4,0.35645582953412924
52,Macrophage,0.005920694789999999,-11.44705875,Human,hNeo4,0.003462697474595301
53,Macrophage,0.00920204371,-10.6689075,Human,hNeo4,0.01981528686045509
54,Macrophage,0.01647807827,-9.890756252,Human,hNeo4,0.0930659351920489
55,Macrophage,0.02910413824,-9.112605002,Human,hNeo4,0.24242995968039757
56,Macrophage,0.06230996264,-8.334453751,Human,hNeo4,0.3309554574973569
57,Macrophage,0.1326449634,-7.556302501,Human,hNeo4,0.3523928196831638
58,Macrophage,0.1596804251,-6.77815125,Human,hNeo4,0.3561785427861083
59,Macrophage,0.1634967766,-6.0,Human,hNeo4,0.35645582953412924
60,Macrophage,0.0,-11.44705875,Human,hNeo4,0.003462697474595301
61,Macrophage,0.0,-10.6689075,Human,hNeo4,0.01981528686045509
62,Macrophage,0.0,-9.890756252,Human,hNeo4,0.0930659351920489
63,Macrophage,0.0,-9.112605002,Human,hNeo4,0.24242995968039757
64,Macrophage,0.0,-8.334453751,Human,hNeo4,0.3309554574973569
65,Macrophage,0.038467568540000004,-7.556302501,Human,hNeo4,0.3523928196831638
66,Macrophage,0.07565848414000001,-6.77815125,Human,hNeo4,0.3561785427861083
67,Macrophage,0.07841336678000001,-6.0,Human,hNeo4,0.35645582953412924
68,Macrophage,0.0,-11.44705875,Human,hNeo4,0.003462697474595301
69,Macrophage,0.0,-10.6689075,Human,hNeo4,0.01981528686045509
70,Macrophage,0.0,-9.890756252,Human,hNeo4,0.0930659351920489
71,Macrophage,0.0,-9.112605002,Human,hNeo4,0.24242995968039757
72,Macrophage,0.0,-8.334453751,Human,hNeo4,0.3309554574973569
73,Macrophage,0.034839186529999996,-7.556302501,Human,hNeo4,0.3523928196831638
74,Macrophage,0.05721420892,-6.77815125,Human,hNeo4,0.3561785427861083
75,Macrophage,0.06195126321,-6.0,Human,hNeo4,0.35645582953412924
76,Macrophage,0.0,-11.44705875,Human,hNeo4,0.003462697474595301
77,Macrophage,0.0,-10.6689075,Human,hNeo4,0.01981528686045509
78,Macrophage,0.0,-9.890756252,Human,hNeo4,0.0930659351920489
79,Macrophage,0.0,-9.112605002,Human,hNeo4,0.24242995968039757
80,Macrophage,0.0,-8.334453751,Human,hNeo4,0.3309554574973569
81,Macrophage,0.03016932449,-7.556302501,Human,hNeo4,0.3523928196831638
82,Macrophage,0.0381987995,-6.77815125,Human,hNeo4,0.3561785427861083
83,Macrophage,0.034872782660000004,-6.0,Human,hNeo4,0.35645582953412924
84,Macrophage,0.0,-10.6689075,Human,hNeo4,0.01981528686045509
85,Macrophage,0.0,-9.890756252,Human,hNeo4,0.0930659351920489
86,Macrophage,0.02564964586,-9.112605002,Human,hNeo4,0.24242995968039757
87,Macrophage,0.1528511067,-8.334453751,Human,hNeo4,0.3309554574973569
88,Macrophage,0.22886024500000002,-7.556302501,Human,hNeo4,0.3523928196831638
89,Macrophage,0.2713116696,-6.77815125,Human,hNeo4,0.3561785427861083
90,Macrophage,0.2454862889,-6.0,Human,hNeo4,0.35645582953412924
91,Macrophage,0.0,-10.6689075,Human,hNeo4,0.01981528686045509
92,Macrophage,0.0,-9.890756252,Human,hNeo4,0.0930659351920489
93,Macrophage,0.03558248458,-9.112605002,Human,hNeo4,0.24242995968039757
94,Macrophage,0.15881081,-8.334453751,Human,hNeo4,0.3309554574973569
95,Macrophage,0.2581391973,-7.556302501,Human,hNeo4,0.3523928196831638
96,Macrophage,0.2723202347,-6.77815125,Human,hNeo4,0.3561785427861083
97,Macrophage,0.29197197410000003,-6.0,Human,hNeo4,0.35645582953412924
0,Macrophage,0.021462572299999996,-13.00336125,Human,hIL13,0.00018399248155948192
1,Macrophage,0.0,-12.22521,Human,hIL13,0.0011025915836216731
2,Macrophage,0.0,-11.44705875,Human,hIL13,0.006566891507970853
3,Macrophage,0.0,-10.6689075,Human,hIL13,0.03773600493416674
4,Macrophage,0.2736344257,-9.890756252,Human,hIL13,0.18060875570841653
5,Macrophage,0.7841212112,-9.112605002,Human,hIL13,0.4892885792309074
6,Macrophage,0.9303631599000001,-8.334453751,Human,hIL13,0.6819467744998556
7,Macrophage,0.8783762101000001,-7.556302501,Human,hIL13,0.7148917909501877
8,Macrophage,0.00994047937,-13.00336125,Human,hIL13,0.00018399248155948192
9,Macrophage,0.0,-12.22521,Human,hIL13,0.0011025915836216731
10,Macrophage,0.0,-11.44705875,Human,hIL13,0.006566891507970853
11,Macrophage,0.0,-10.6689075,Human,hIL13,0.03773600493416674
